Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status,Price,Days,Discount,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
yab67np0,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,7,1,Closed Won,240,31,False,0,0,1,0,0
jersmur9,0,0,0,0,0,1,True,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,6,Closed Won,768,0,False,0,0,1,0,0
7ku8unc5,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,0,1,0,1,0,0,9,28,Closed Won,768,0,False,0,0,1,0,0
cz0s25py,0,0,0,0,0,1,True,0,0,1,1,1,0,1,0,0,0,0,1,0,0,7,1,Closed Won,360,0,False,1,0,0,0,0
apg8yjfj,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,7,1,Closed Won,576,31,False,0,0,0,1,0
r0qrgd5g,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,9,28,Closed Lost,768,0,True,0,0,1,0,0
40vqfi0d,0,0,0,0,0,1,True,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,Closed Won,768,0,False,0,0,1,0,0
k3cu5zze,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,1,Closed Won,240,0,False,0,0,1,0,0
pd8vfofk,0,0,0,0,0,1,True,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,6,Closed Lost,360,89,False,0,0,0,1,0
0w46gnkp,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7,1,Closed Won,360,31,False,0,0,1,0,0
wm39chaw,0,0,0,0,0,1,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,1,Closed Lost,768,185,True,0,1,0,0,0
qztgfo8w,0,0,0,0,0,1,True,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,Closed Won,1008,0,False,0,0,0,1,0
8o1gdski,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,9,28,Closed Lost,960,31,True,0,0,1,0,0
s6nefwq2,0,0,0,0,0,1,True,1,0,1,0,1,0,0,0,0,1,0,1,0,0,7,1,Closed Lost,200,1,True,0,1,0,0,0
y48alnr7,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,0,1,0,1,0,0,9,28,Closed Won,768,0,False,1,0,0,0,0
yxhr0blv,0,0,0,0,0,1,True,0,1,1,1,1,0,1,0,0,0,0,1,0,0,2,6,Closed Lost,768,597,False,0,1,0,0,0
